%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1711478676798934425,5687,1711478676795930469,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676822072776,5688,1711478676815885394,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676839174882,5689,1711478676835887039,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676866491464,5690,1711478676855872492,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676883692126,5691,1711478676875896314,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676898093256,5692,1711478676895906471,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676917331376,5693,1711478676915886228,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676940216289,5694,1711478676935984898,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676963112122,5695,1711478676955894383,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478676979279277,5696,1711478676975885020,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677000616512,5697,1711478676995877194,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677021065294,5698,1711478677016090969,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677036681714,5699,1711478677035877508,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677066679984,5700,1711478677055897906,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677091282855,5701,1711478677076239426,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677113133394,5702,1711478677095913677,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677122818980,5703,1711478677115969146,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677146462949,5704,1711478677135946984,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677172791981,5705,1711478677155939765,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677189288499,5706,1711478677175868578,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677205803375,5707,1711478677195871439,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677228701497,5708,1711478677215868828,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677247761826,5709,1711478677236185516,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677264579312,5710,1711478677256211674,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677287538239,5711,1711478677275879173,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677307790872,5712,1711478677297562782,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677317024969,5713,1711478677315888543,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677339253418,5714,1711478677335934765,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677360250384,5715,1711478677355893466,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677376685167,5716,1711478677375874727,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677399183444,5717,1711478677396056982,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677420196834,5718,1711478677415940802,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677441487614,5719,1711478677435889967,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677466422419,5720,1711478677455866588,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677487267450,5721,1711478677477078898,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677506939025,5722,1711478677495885271,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677516782106,5723,1711478677515929413,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677536855907,5724,1711478677536015699,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677570525301,5725,1711478677555938688,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677577070068,5726,1711478677575921261,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677598168722,5727,1711478677596391262,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677620978811,5728,1711478677615902439,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677636706152,5729,1711478677635874965,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677670768382,5730,1711478677655975459,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677677071698,5731,1711478677675886831,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677708252289,5732,1711478677695885981,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677717792471,5733,1711478677715868874,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677738199049,5734,1711478677735909560,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677758262081,5735,1711478677755876709,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677776700677,5736,1711478677775844978,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677800996125,5737,1711478677795910784,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677825835138,5738,1711478677815901645,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677844945724,5739,1711478677835885178,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677866102646,5740,1711478677856090313,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677888987121,5741,1711478677875837492,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677912453141,5742,1711478677895871810,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677916746081,5743,1711478677915877487,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677938770852,5744,1711478677936078558,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677976210529,5745,1711478677956032363,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478677979732445,5746,1711478677975896184,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678002940344,5747,1711478677995915589,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678022045345,5748,1711478678016145172,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678045555493,5749,1711478678035988064,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678063423039,5750,1711478678055900653,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678089599003,5751,1711478678076087804,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678116502716,5752,1711478678096403243,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678119688779,5753,1711478678115937621,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678144041931,5754,1711478678135886082,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678161917001,5755,1711478678155880175,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
1711478678197059136,5756,1711478678178387535,base_link,-1.9359333515167236,-1.6170698404312134,1.0,0.0,0.0,0.0,0.0
